ConsecutivoOP,ConsecPedido,Cliente,Producto,NombProducto,OCCliente,Actividad,RecMAQ,RecHOM,SecAct,FechEstInicil,estado,TipoConsecutivo,Fecha de visita,Empresa,Planta,Pa铆s,Ciudad,Tipo de equipo,Pedido N掳,Material,Causa de desgaste,"Si escogi贸 otros, cu谩l?",Escoja el desgaste donde se presenta,Tipo de cadena,Referencia cadena,Medida referencia de control desgaste nueva en mm (CADENA),Medida referencia control de desgaste actual en mm (CADENA),Porcentaje de elongaci贸n actual % (CADENA),Porcentaje de elongaci贸n m谩x % (CADENA),Proyecci贸n en horas de operaci贸n restantes (H) (CADENA),Medida sin desgaste en mm (BUJE),Medida actual en mm1 (BUJE),Porcentaje de desgaste actual % (BUJE),Medida sin desgaste en mm1 (PASADOR),Medida actual en mm (PASADOR),Porcentaje de desgaste actual % (PASADOR),Medida sin desgaste en mm2 (RODILLO),Medida actual en mm2 (RODILLO),Porcentaje de desgaste actual % (RODILLO),Altura de la platina en mm,Medida actual de la platina en mm (PLATINA),Porcentaje de desgaste actual % (PLATINA),Paso en mm,Cantidad de pasos,Falla,Valor
67140,27380,860009808,30321162I,PTNA SUFRIDERA 15X40X60 ,E-MAIL 02/11/2021,CORT2,OXICORTE Y PLASMA,CORTAR,1,11/04/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,,,,,,,,,,350,349,0.286,250,6,Desgaste,0.286
65431,26765,860009808,30351506A,BUJE 脴E63.5X脴I35.55X127.8,4530313020,CORT,MEGAS,CORTAR,1,08/03/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,26765,CLINKER,Elongaci贸n prematura;Desalineaci贸n;Otros,DESGASTE DE GUIAS,Platina Interna;Pasador cadena,"CDNA FB984-ADITK443-C2-P7""",FB984,,,,,,63.5,63.3,0.31,,,,,,,,,,,,Desgaste,0.31
71011,28508,860009808,30299259C,PASADOR 28X26X149.8 PERF,4500602273,CORT,MEGAS,CORTAR,1,7/20/2022 0:00,FI,FBORP,02/01/2023,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,28508,CARB脫N GRANULADO,Otros,OXIDACI脫N,Buje cadena;Platina Externa;Platina Interna;Pasador cadena,"CDNA FB 956-K24-C2-P6""",FB 956,,,,,,,,,25.4,24.6,3.25,,,,,,,,,Desgaste,3.25
71009,28508,860009808,30299259A,BUJE 脴E44.45X26.05X101.6 ,4500602273,CORT,MEGAS,CORTAR,1,7/20/2022 0:00,FI,FBORP,02/01/2023,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,28508,CARB脫N GRANULADO,Otros,OXIDACI脫N,Buje cadena;Platina Externa;Platina Interna;Pasador cadena,"CDNA FB 956-K24-C2-P6""",FB 956,,,,,,25.9,26.05,0.58,,,,,,,,,,,,Desgaste,0.58
74172,29137,900164755,1014344,CDNA ELEV ER857 ADIT K44 C2 P6,4501176863,ENSA,PRENSA ENSAMBLES,FORJADO,1,01/11/2023 00:00,FI,FBORP,07/08/2023,ARGOS,ZONA FRANCA,COLOMBIA,CARTAGENA,Elevador cangilones,29137,CLINKER,Desalineaci贸n;Cavitaci贸n seca;Otros,MALAS PR脕CTICA DEL CLIENTE,Platina Interna;Pasador cadena,ER 857-K44,ER 857,,0.22,0.22,2.5,,,,,,,,,,,,,,,,Elongaci髇,0.22
63245,26046,890100251,1DCI010001,PASADOR 38.1X32.8X186 PERF,4500851751:,CENT,CENTRADORAS,MECANIZADO,2,12/22/2020 0:00,FI,FBORP,2/21/2022,ARGOS,PAZ DEL RIO,COLOMBIA,BOYACA,Elevador cangilones,26046,CEMENTO,,TIEMPO DE TRABAJO,Platina Interna;Buje cadena;Pasador cadena,"CDNA FB 864-K443-C2-P7""",FB 864,,,,,,,,,31.75,29,9.48,,,,,,,,,Desgaste,9.48
74458,28914,CAP821208LQ3,30392656B,PASADOR 50.05X203.2 RAN,8400005086,CORT,MEGAS,CORTAR,1,1/25/2023 0:00,FI,FBORP,06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,28914,CLINKER,Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,,,,,,,,,50,50,0,,,,,,,,,Desgaste,0
65017,26425,860009808,30326515B,BUJE 脴E35X脴I21X41,4530309439,CORT,MEGAS,CORTAR,1,5/21/2021 0:00,FI,FBORP,4/28/2022,HOLCIM,NOBSA,COLOMBIA,BOYACA,Reclamador y apilador,26425,PIEDRA CALIZA,Elongaci贸n prematura;Otros,COLISI脫N CON GU脥AS,Platina Interna;Platina Externa;Rodillo,CDNA FB 311-TK1-C2-P250,FB425,,,,,,100.05,97.75,2.3,,,,,,,,,,,,Desgaste,2.3
63249,26046,890100251,1DCI020001,BUJE 脴E60.5X脴I32.3X127.25,4500851751:,CORT,MEGAS,CORTAR,1,12/22/2020 0:00,FI,FBORP,2/21/2022,ARGOS,PAZ DEL RIO,COLOMBIA,BOYACA,Elevador cangilones,26046,CEMENTO,,TIEMPO DE TRABAJO,Platina Interna;Buje cadena;Pasador cadena,"CDNA FB 864-K443-C2-P7""",FB 864,,,,,,32.7,33,0.92,,,,,,,,,,,,Desgaste,0.92
74457,28914,CAP821208LQ3,30392656A,BUJE 脴E76.05X脴I50.75X128,8400005086,CORT,MEGAS,CORTAR,1,1/25/2023 0:00,FI,FBORP,06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,28914,CLINKER,Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,,,,,,50.6,50.6,0,,,,,,,,,,,,Desgaste,0
67142,27380,860009808,30321162K,PTNA CAB SUF 9.5X78X349-SOLD,E-MAIL 02/11/2021,ARMAR,SOLDADORES GMAW,SOLDADURA,1,11/04/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,,,,,,,,,,350,349,0.286,250,6,Desgaste,0.286
275,27758,CAP821208LQ3,PD0001788E,BUJE 脴E63.5X脴I40.75X140.5 EC,8400003161;;;,GRAN,GRANALLADORA,MECANIZADO,5,02/12/2022 00:00,FI,FBREP,06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27758,CEMENTO,Otros,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,CDNA FB-SJM-984,FB-SJM-984,,,,,,62,62.2,0.32,,,,,,,,,,,,Desgaste,0.32
77462,30020,CAP821208LQ3,30391261,"CDNA ELEV FB 984-K443-C2-P7""",8400005594,PINA1,BANCO DE TRABAJO ENSAMBLE,PRODUCTO TERMINADO,7,7/28/2023 0:00,FI,FBORP,03/10/2023,HOLCIM,TECOM脕N,MEXICO,COLIMA,Elevador cangilones,30020,CEMENTO,Cavitaci贸n seca,,Buje cadena,"CDNA ELEVADOR FB 984-K443-C2-P7""",FB 984,,,0.11,2.5,40000,,,,,,,,,,,,,,,Elongaci髇,0.11
